created_at,place,text,lang
2017-01-22 18:07:02,,b'I read letters like these every single day. It was one of the best parts of the job \xe2\x80\x93 hearing from you. https://t.co/so1luBcszV',en

2017-01-20 21:17:01,,b'RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3',en

2017-01-20 21:05:04,,"b""In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT""",en

2017-01-20 21:04:08,,"b'Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we\xe2\x80\x99ll get back to work.'",en

2017-01-10 23:44:14,,"b'Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell'",en

2016-11-05 16:31:13,,"b'RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""\n\nWatch the weekly address: https://t.co/Pfk\xe2\x80\xa6'",en

2016-11-05 15:38:53,,"b'In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx'",en

2016-11-04 22:16:14,,"b""Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a""",en

2016-11-04 18:25:16,,b'The landmark #ParisAgreement enters into force today\xe2\x80\x94we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro',en

2016-11-04 16:12:12,,"b'The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport'",en

2016-11-03 21:02:36,,"b""There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered""",en

2016-11-03 19:08:49,,"b""The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34""",en

2016-11-03 17:22:00,,"b""RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before\xe2\x80\xa6""",en

2016-11-02 18:22:43,,"b""Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU""",en

2016-11-02 15:13:34,,"b'Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open\xe2\x80\x94make sure you and y\xe2\x80\xa6 https://t.co/89gl6pzMGD'",en

2016-11-02 00:15:41,,b'RT @lacasablanca: La t\xc3\xadpica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.\xe2\x80\xa6',es

2016-11-01 22:26:14,,"b'RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:\xe2\x80\xa6'",en

2016-11-01 20:17:35,,b'Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i',en

2016-11-01 17:55:30,,"b'With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe\xe2\x80\xa6 https://t.co/jvdFY87XBu'",en

2016-11-01 15:54:09,,"b""The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered.\xe2\x80\xa6 https://t.co/Spjlga4eTT""",en

2016-10-31 22:17:32,,b'RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. https://t.\xe2\x80\xa6',en

2016-10-31 22:09:10,,b'Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y',en

2016-10-31 20:12:07,,b'Usted y su familia merecen la tranquilidad de saber que est\xc3\xa1n cubiertos. El mercado de seguros abre ma\xc3\xb1ana. https://t.co/9iRCkLRGZD',es

2016-10-31 18:08:56,,"b'Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj'",en

2016-10-31 17:00:21,,"b""There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less\xe2\x80\xa6 https://t.co/BUmnRO9B3E""",en

2016-10-31 15:33:29,,b'Open enrollment begins tomorrow\xe2\x80\x94make sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3',en

2016-10-30 22:21:27,,"b""RT @OFA: Witch plan is best for you? Thanks to Obamacare, even pre-existing conditions can't stop you from comparing your options. #GetCove\xe2\x80\xa6""",en

2016-10-28 16:50:43,,"b""Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob""",en

2016-10-28 15:07:46,,"b""Senate leaders should put the common good above politics\xe2\x80\x94the integrity of our nation's highest court depends on it.\xe2\x80\xa6 https://t.co/iRVCEl1pzf""",en

2016-10-27 22:17:29,,"b""Don't ghost on your health and well-being\xe2\x80\x94your chance to #GetCovered is coming up. Open enrollment starts November\xe2\x80\xa6 https://t.co/qwNLazuPiz""",en

2016-10-27 21:31:51,,b'Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u',en

2016-10-27 20:24:15,,"b""If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO""",en

2016-10-27 18:55:15,,b'President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID',en

2016-10-27 17:04:36,,b'New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate',en

2016-10-27 15:27:13,,b'Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C',en

2016-10-26 19:32:32,,"b'This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI'",en

2016-10-26 17:33:39,,"b""No one's too wrapped up in pre-existing conditions to #GetCovered. \nThanks to Obamacare, you can find a plan that m\xe2\x80\xa6 https://t.co/C7H9TZdxeU""",en

2016-10-26 16:26:29,,"b""Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH""",en

2016-10-26 15:01:14,,b'DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb',en

2016-10-25 19:55:05,,"b'Women, the sick, survivors\xe2\x80\x94they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV'",en

2016-10-25 18:01:23,,"b""Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A""",en

2016-10-25 16:24:31,,"b'RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi\xe2\x80\xa6'",en

2016-10-25 15:25:18,,"b""Be proud of the progress we've made together\xe2\x80\x94wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E""",en

2016-10-24 21:32:47,,b'Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl',en

2016-10-24 20:11:34,,b'The four-week average of jobless claims fell to the lowest level since 1973\xe2\x80\x94a sign of a healthy labor market. https://t.co/Lv7DnRM2DY',en

2016-10-24 18:52:18,,"b""Since 2010, America's uninsured rate has been cut in half. Help build on that progress\xe2\x80\x94join Team #Obamacare today: https://t.co/MhIICuE17A""",en

2016-10-24 17:06:57,,"b""RT @OFA: It's working.\nIt's saving lives.\nAnd we're not going back.\nRetweet to show your support. https://t.co/YOBeMMSYP8""",en

2016-10-24 15:21:13,,"b'Health care is a right, not a privilege\xe2\x80\x94and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW'",en

2016-10-21 20:47:03,,"b""Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq""",en

2016-10-21 16:40:47,,"b""Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the\xe2\x80\xa6 https://t.co/1lSzxCHZVf""",en

2016-10-21 14:55:59,,"b'""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm'",en

2016-10-20 20:42:08,,"b""Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF""",en

2016-10-20 18:47:02,,"b""There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw""",en

2016-10-20 17:52:58,,b'LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O',en

2016-10-20 17:29:10,,"b""RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: https://t.co\xe2\x80\xa6""",en

2016-10-20 16:54:36,,b'Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O',en

2016-10-20 15:35:45,,"b""There's a lot of misinformation floating around. Make sure you've got the facts\xe2\x80\x94join the @OFA Truth Team:\xe2\x80\xa6 https://t.co/SpfRFK5LWq""",en

2016-10-19 20:10:29,,"b'From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob'",en

2016-10-19 18:07:12,,"b'Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0'",en

2016-10-19 15:56:12,,"b'RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nation\xe2\x80\x99s history. Lowes\xe2\x80\xa6'",en

2016-10-19 15:09:17,,b'The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q',en

2016-10-18 20:00:51,,"b""We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate""",en

2016-10-18 18:25:18,,b'Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate',en

2016-10-18 17:10:19,,"b""Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ""",en

2016-10-18 15:45:12,,b'This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP',en

2016-10-17 22:14:11,,b'Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn',en

