created_at,Place,text,lang
2018-03-16 14:00:13,,b'Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:\xe2\x80\xa6 https://t.co/iZBJ8dEKhz',en
2018-03-16 12:59:01,,b'\xf0\x9f\xa4\x94\xf0\x9f\x8e\xa8 Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ',en
2018-03-16 12:38:40,,"b'RT @BBCNewsPR: Get ready to make the headlines. \n\nTry out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe\xe2\x80\xa6'",en
2018-03-16 12:00:04,,"b""\xf0\x9f\x98\x82 Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/gEYxoetlah""",en
2018-03-16 10:45:24,,"b""RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. \xf0\x9f\x98\xa2\n\n@realkenbru\xe2\x80\xa6""",en
2018-03-16 10:02:00,,b'Are you getting enough sleep? This simple test will tell you... \xf0\x9f\xa5\x84\xf0\x9f\x98\xb4#WorldSleepDay https://t.co/SP28dsdLSf',en
2018-03-16 09:35:56,,"b""RT @bbcthree: the dancing in taylor swift's new video seems pretty familiar \n\nCC @ChrisLilley https://t.co/MfA9usnqSb""",en
2018-03-16 09:35:50,,"b'RT @BBCEngland: Oscar-winning British short film The Silent Child is to be shown on BBC One on Good Friday, giving UK viewers the first cha\xe2\x80\xa6'",en
2018-03-16 09:35:47,,"b""RT @BBCScotlandNews: Meet Chloe - the five-year-old girl changing perceptions of Down's syndrome https://t.co/UNylRgDoY0 https://t.co/4ZjpI\xe2\x80\xa6""",en
2018-03-16 09:35:43,,b'RT @BBCWales: \xf0\x9f\x8c\xbc Daffodils dance in the spring sunshine above Tenby harbour\n\n\xf0\x9f\x93\xb7 #Photooftheday \xc2\xbb https://t.co/kNBVDzoYrZ https://t.co/OEQQWR7\xe2\x80\xa6',en
2018-03-16 09:00:03,,"b""\xf0\x9f\x92\xaa After having his leg amputated, @MarkSmithBB is now training to become the world's strongest disabled man. https://t.co/BXlGp09hya""",en
2018-03-16 08:30:05,,"b'\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xba\nTake a look at some of the strangest, scariest and most wonderful plants on the planet, and find out what makes\xe2\x80\xa6 https://t.co/AMFIAuRcxW'",en
2018-03-16 08:00:08,,b'\xf0\x9f\x98\xac\xf0\x9f\x9b\xb0\xf0\x9f\x8c\x8f Brace yourselves... a Chinese space station could be about to crash into earth. https://t.co/cPFxyUhRsq',en
2018-03-15 21:58:00,,b'Why were Ansel Adams photographs of America so important? #Civilisations https://t.co/8krOMxDz9C',en
2018-03-15 21:04:00,,"b'At a time in China when artists were persecuted, this painter secretly created beautiful landscapes. #Civilisations https://t.co/ApGgOkXX2w'",en
2018-03-15 19:30:04,,b'70% of children growing up in poverty in Scotland have a parent who is in work. https://t.co/NPY8FbCaf4',en
2018-03-15 18:30:06,,b'No time in the mornings? \n\xf0\x9f\x8d\xaf\xf0\x9f\x8d\x8e Pop these in the fridge the night before to feed the family breakfast almost instantly\xe2\x80\xa6 https://t.co/FtuewpoBva',en
2018-03-15 17:30:05,,b'\xf0\x9f\x8e\xa8\xf0\x9f\x96\xbc\xef\xb8\x8f Meet the amazing 84-year-old who\xe2\x80\x99s never had an art lesson but painted a life-size replica of a Canaletto maste\xe2\x80\xa6 https://t.co/X39YxKuxKe',en
2018-03-15 13:52:24,,"b""RT @BBCR1: .@CHVRCHES covering @The1975's 'Somebody Else' in the Live Lounge is so stunning \xf0\x9f\x8c\xb9 https://t.co/djNHaPKlLi""",en
2018-03-15 13:00:05,,"b""Tiny cookery. It's like regular cookery, but smaller. https://t.co/9Q0R2CiUVi""",en
2018-03-15 12:00:16,,b'\xf0\x9f\x9a\xa2\xf0\x9f\x8e\x9e Stars of the silver screen all at sea. \n\xf0\x9f\x93\xb8\xf0\x9f\x91\x89 https://t.co/YJ7PzhblOE https://t.co/PnHxJNmeok',en
2018-03-15 10:45:00,,"b'BBC Economics Editor @bbckamal travels back to his old school to talk about real news, and it\xe2\x80\x99s opposite, fake news\xe2\x80\xa6 https://t.co/CAKG8AbVn8'",en
2018-03-15 10:26:48,,b'RT @BBCr4today: Can you spot fake news? #BBCSchoolReport and John Humphrys are here to help... Play the game \xf0\x9f\x91\x89 https://t.co/ulq1aviwP9 #r4t\xe2\x80\xa6',en
2018-03-15 09:53:48,,"b""RT @BBCR1: The bike is back.\nThe lycra is BACK.\n\n@GregJames' #Gregathlon for @SportRelief is back on the road to Ben Nevis! Today's challen\xe2\x80\xa6""",en
2018-03-15 09:53:11,,b'RT @BBCSpringwatch: \xf0\x9f\x98\x8d\xf0\x9f\x90\xad This adorable little wood mouse hit the jackpot when it came across this larder of tasty hedgehog food! Watch how it\xe2\x80\xa6',en
2018-03-15 09:50:25,,b'RT @BBCTwo: \xf0\x9f\x86\x95 CONFIRMED: The final series of #Episodes starts Friday 30 March on @BBCTwo! @matt_leblanc @stephenmangan \xf0\x9f\x93\xba\xf0\x9f\x99\x8c https://t.co/PeBz\xe2\x80\xa6',en
2018-03-15 09:00:08,,b'Meet the Maasai woman standing up to female genital mutilation. https://t.co/CWUQB81bUz',en
2018-03-15 08:30:08,,"b""\xf0\x9f\xa7\x80\xf0\x9f\x90\xae A farm dairy in south west Scotland believes it is leading the way for what it describes as 'ethical' cheese.\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/VyfVlaVR0u""",en
2018-03-15 08:00:04,,"b""\xf0\x9f\x9a\x87 When step-free access on London's Tube... isn't. https://t.co/62SPPru2ZP""",en
2018-03-14 21:14:04,,"b'No coffee after 2pm, no lie-ins and no phones in the bedroom...\n\nOne woman followed all the rules to find out what\xe2\x80\xa6 https://t.co/EoQcnBXGQ4'",en
2018-03-14 20:00:03,,"b""\xf0\x9f\x9b\xa9\xef\xb8\x8f The sky's the limit! https://t.co/eQgP9MDBCj""",en
2018-03-14 19:10:00,,b'\xe2\x80\x9cRemember to look up at the stars and not down at your feet.\xe2\x80\x9d\n\nAn extraordinary man whose work and legacy will live\xe2\x80\xa6 https://t.co/iM2vDxd8ET',en
2018-03-14 19:04:03,,"b""Britain's most iconic dog is in crisis. Catherine Tate investigates the serious health problems affecting the Briti\xe2\x80\xa6 https://t.co/pnTcQIQAi5""",en
2018-03-14 18:30:00,,b'\xf0\x9f\x94\x8a\xf0\x9f\x98\xb5 This is trippy. \n\n#TonesDronesAndArpeggios | Watch on @BBCiPlayer https://t.co/Ylvgi0X3XV',en
2018-03-14 17:30:00,,b'Would you use a cup made of used chewing gum?\xc2\xa0https://t.co/3yFsUyeZAc',en
2018-03-14 16:43:32,,b'RT @BBCR1: Big thanks to #PiDay for giving us an excuse to re-share this video of Tom Hiddleston making it sound sexy \xf0\x9f\x98\x8d https://t.co/1VZuCI\xe2\x80\xa6',en
2018-03-14 16:20:43,,"b""RT @BBCTwo: In a change to tonight\xe2\x80\x99s schedule, we\xe2\x80\x99ll now be showing a Horizon special from 1983 looking at Stephen Hawking's extraordinary\xe2\x80\xa6""",en
2018-03-14 14:38:04,,"b'\xf0\x9f\x92\xab\xe2\x98\x84 From the behaviour of black holes to the origin of the universe, these are the discoveries that made Stephen Haw\xe2\x80\xa6 https://t.co/Nep1Hu6Onj'",en
2018-03-14 13:24:10,,"b""Broadcaster and comedian Jim Bowen, best known for hosting darts-based game show Bullseye in the 1980s and '90s, ha\xe2\x80\xa6 https://t.co/4d3xxj5e3X""",en
2018-03-14 13:00:06,,b'Pi(\xcf\x80) = the most delicious number in the known universe. \n\xf0\x9f\xa5\xa7 #PiDay https://t.co/hjtJByH0XN',ro
2018-03-14 12:49:48,,b'RT @BBCR1: \xf0\x9f\x8f\x94\xf0\x9f\x9a\xb4 #Gregathlon is GO! \xf0\x9f\x9a\xb4\xf0\x9f\x8f\x94\n\n@GregJames is getting back on his bike to finish his HUGE challenge for @SportRelief. \n\nHe starts his\xe2\x80\xa6',en
2018-03-14 12:17:18,,b'RT @bbcgetinspired: \xf0\x9f\x94\xb4 DANCERS NEEDED! \xf0\x9f\x94\xb4\n\nDo you know a dancer who would love this? \xf0\x9f\x92\x83\xf0\x9f\x95\xba #TuesdayThoughts #GetInspired @birminghamcg22 #Birmin\xe2\x80\xa6',en
2018-03-14 12:12:32,,b'RT @BBCFOUR: Ruth Ellis was only 28 when she became the last woman hanged to death in the UK \xe2\x80\x93 and it took place disturbingly recently. htt\xe2\x80\xa6',en
2018-03-14 12:03:05,,b'\xf0\x9f\x93\x9a The Bard is credited with inventing several hundred English words. \n\nTest your knowledge of Bard-influenced corpo\xe2\x80\xa6 https://t.co/V3IfPC0kDm',en
2018-03-14 11:59:37,,"b""RT @BBCRadio4: Here is a perfect example of Stephen Hawking's extraordinary ability to make serious science genuinely popular\nA 90-second e\xe2\x80\xa6""",en
2018-03-14 11:56:23,,"b'RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV'",en
2018-03-14 11:56:14,,b'RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world \xe2\x9b\xb7\xe2\x9d\xa4\xef\xb8\x8f https://t.\xe2\x80\xa6',en
2018-03-14 11:30:12,,b'\xf0\x9f\x92\xab Stephen Hawking: A life in pictures.\n\xf0\x9f\x93\xb8 \xf0\x9f\x91\x89 https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY',en
